用例名称,username,password,预期响应状态码,errno,data,errmsg
账号密码登录-正确凭据,user123,e10adc3949ba59abbe56e057f20f883e,200,0,返回token、用户信息,成功
账号密码登录-未注册账号,notexist,e10adc3949ba59abbe56e057f20f883e,4xx,!=0,,账号不存在
账号密码登录-错误密码,user123,wrongpassword,4xx,!=0,,账号密码错误
账号密码登录-空用户名,,e10adc3949ba59abbe56e057f20f883e,4xx,!=0,,用户名不能为空
账号密码登录-空密码,user123,,4xx,!=0,,密码不能为空
账号密码登录-密码未加密,user123,123456,4xx,!=0,,账号密码错误
账号密码登录-特殊字符账号,user*123,e10adc3949ba59abbe56e057f20f883e,4xx,!=0,,账号不存在
手机号登录-正确手机号密码,13800138000,e10adc3949ba59abbe56e057f20f883e,200,0,返回token、用户信息,成功
手机号登录-未注册手机号,13800138999,e10adc3949ba59abbe56e057f20f883e,4xx,!=0,,账号不存在
手机号登录-格式错误,12345,e10adc3949ba59abbe56e057f20f883e,4xx,!=0,,手机号格式不正确
退出登录-已登录,,,200,0,返回成功结果,成功
退出登录-未登录,,,4xx,!=0,,未登录
获取用户信息-已登录,,,200,0,返回用户详细信息,成功
获取用户信息-未登录,,,4xx,!=0,,未登录
获取用户信息-无效Token,,,4xx,!=0,,token无效
刷新Token-有效Token,,,200,0,返回新的token,成功
刷新Token-无效Token,,,4xx,!=0,,token无效
