用例名称,mobile,code,username,password,repeatPassword,预期响应状态码,errno,data,errmsg
短信验证码-正确手机号,13611224455,,,,,200,0,,成功
短信验证码-手机号为空,,13611224455,,4xx,!=0,,手机号不能为空
短信验证码-手机号第一位不为1,23611224455,,,,,4xx,!=0,,手机号格式不正确
短信验证码-手机号第二位小于等于2,11611224455,,,,,4xx,!=0,,手机号格式不正确
短信验证码-手机号10位数字,1361122445,,,,,4xx,!=0,,手机号必须是11位数字
短信验证码-手机号12位数字,136112244555,,,,,4xx,!=0,,手机号必须是11位数字
短信验证码-手机号非数字,1361122445a,,,,,4xx,!=0,,手机号必须是数字
注册-正确手机号+正确验证码+6位字母数字密码+确认密码一致,13611224456,666666,testuser001,123abc,123abc,200,0,用户信息和token,成功
注册-正确手机号+正确验证码+8位字母数字密码+确认密码一致,13611224457,666666,testuser002,1234abcd,1234abcd,200,0,用户信息和token,成功
注册-正确手机号+正确验证码+12位字母数字密码+确认密码一致,13611224458,666666,testuser003,123456abcdef,123456abcdef,200,0,用户信息和token,成功
注册-验证码为空,13611224459,,testuser004,123abc,123abc,4xx,!=0,,验证码不能为空
注册-验证码错误,13611224460,123456,testuser005,123abc,123abc,4xx,!=0,,验证码错误
注册-验证码过期,13611224461,666666,testuser006,123abc,123abc,4xx,!=0,,验证码已过期
注册-用户名为空,13611224462,666666,,123abc,123abc,4xx,!=0,,用户名不能为空
注册-用户名3位,13611224463,666666,abc,123abc,123abc,4xx,!=0,,用户名长度必须在4~20位之间
注册-用户名21位,13611224464,666666,abcdefghijklmnopqrstu,123abc,123abc,4xx,!=0,,用户名长度必须在4~20位之间
注册-用户名含特殊字符*,13611224465,666666,abc*def,123abc,123abc,4xx,!=0,,用户名只能包含字母、数字、下划线
注册-用户名含特殊字符&,13611224466,666666,abc&def,123abc,123abc,4xx,!=0,,用户名只能包含字母、数字、下划线
注册-用户名含汉字,13611224467,666666,abc测试def,123abc,123abc,4xx,!=0,,用户名只能包含字母、数字、下划线
注册-密码为空,13611224468,666666,testuser007,,"",4xx,!=0,,密码不能为空
注册-密码纯数字,13611224469,666666,testuser008,123456,123456,4xx,!=0,,密码必须包含字母和数字
注册-密码纯字母,13611224470,666666,testuser009,abcdef,abcdef,4xx,!=0,,密码必须包含字母和数字
注册-密码长度小于6位,13611224471,666666,testuser010,123ab,123ab,4xx,!=0,,密码长度必须在6~12位之间
注册-密码长度大于12位,13611224472,666666,testuser011,123456abcdefg,123456abcdefg,4xx,!=0,,密码长度必须在6~12位之间
注册-确认密码为空,13611224473,666666,testuser012,123abc,,4xx,!=0,,确认密码不能为空
注册-确认密码与密码不一致,13611224474,666666,testuser013,123abc,123def,4xx,!=0,,两次输入的密码不一致
注册-手机号为空,,666666,testuser014,123abc,123abc,4xx,!=0,,手机号不能为空
注册-手机号第一位不为1,23611224475,666666,testuser015,123abc,123abc,4xx,!=0,,手机号格式不正确
注册-手机号第二位小于等于2,11611224476,666666,testuser016,123abc,123abc,4xx,!=0,,手机号格式不正确
注册-手机号10位数字,1361122447,666666,testuser017,123abc,123abc,4xx,!=0,,手机号必须是11位数字
注册-手机号12位数字,136112244777,666666,testuser018,123abc,123abc,4xx,!=0,,手机号必须是11位数字
注册-手机号非数字,1361122447a,666666,testuser019,123abc,123abc,4xx,!=0,,手机号必须是数字
注册-手机号已注册,13611224455,666666,testuser020,123abc,123abc,4xx,!=0,,手机号已被注册
登录-正确用户名+正确密码,,,testuser001,123abc,,200,0,用户信息和token,成功
登录-用户名为空,,,"",123abc,,4xx,!=0,,用户名不能为空
登录-用户名不存在,,,notexistuser,123abc,,4xx,!=0,,用户名或密码错误
登录-密码为空,,,testuser001,,4xx,!=0,,密码不能为空
登录-密码错误,,,testuser001,wrongpass,,4xx,!=0,,用户名或密码错误
